id,name,city,province,lat,lng,has_er,data_source,wait_metric,stat_type
nb_dreverettchalmersreg,Dr. Everett Chalmers Regional Hospital,Fredericton,NB,45.93897,-66.654472,t,nb_arcgis,total_visit,current_estimate
nb_grandmananhospital,Grand Manan Hospital,Grand Manan,NB,44.762202,-66.763835,t,nb_arcgis,total_visit,current_estimate
nb_hpitaldelenfantjsusr,HÔPITAL DE L'ENFANT - JÉSUS RHSJ,Caraquet,NB,47.79453,-64.938719,t,nb_arcgis,total_visit,current_estimate
nb_hpitaldetracadieshei,HÔPITAL DE TRACADIE-SHEILA,Tracadie-Sheila,NB,47.512383,-64.90633,t,nb_arcgis,total_visit,current_estimate
nb_hpitalgeneraldegrand,HÔPITAL GENERAL DE GRAND-SAULT,Grand Falls/Grand-Sault,NB,47.045298,-67.754333,t,nb_arcgis,total_visit,current_estimate
nb_hpitalrgionalchaleur,HÔPITAL RÉGIONAL CHALEUR,Bathurst,NB,47.649288,-65.694674,t,nb_arcgis,total_visit,current_estimate
nb_hpitalrgionaldedmund,HÔPITAL RÉGIONAL D'EDMUNDSTON,Edmundston,NB,47.375995,-68.31069,t,nb_arcgis,total_visit,current_estimate
nb_hpitalstellamarisdek,HÔPITAL STELLA-MARIS-DE-KENT,Sainte-Anne-De-Kent,NB,46.558871,-64.782351,t,nb_arcgis,total_visit,current_estimate
nb_hoteldieuofsaintjose,Hotel Dieu of Saint-Joseph,Perth-Andover,NB,46.729003,-67.710327,t,nb_arcgis,total_visit,current_estimate
nb_hteldieusaintjosephd,HÔTEL-DIEU SAINT-JOSEPH DE SAINT-QUENTIN,Saint-Quentin,NB,47.497546,-67.393196,t,nb_arcgis,total_visit,current_estimate
nb_miramichiregionalhos,Miramichi Regional Hospital,Miramichi,NB,47.002868,-65.541443,t,nb_arcgis,total_visit,current_estimate
nb_oromoctopublichospit,Oromocto Public Hospital,Oromocto,NB,45.848636,-66.47318,t,nb_arcgis,total_visit,current_estimate
nb_sackvillememorialhos,Sackville Memorial Hospital,Sackville,NB,45.891902,-64.372445,t,nb_arcgis,total_visit,current_estimate
nb_saintjohnregionalhos,Saint John Regional Hospital,Saint John,NB,45.302733,-66.08515,t,nb_arcgis,total_visit,current_estimate
nb_themonctonhospital,The Moncton Hospital,Moncton,NB,46.104977,-64.80615,t,nb_arcgis,total_visit,current_estimate
nb_upperrivervalleyhosp,Upper River Valley Hospital,Waterville,NB,46.283593,-67.571154,t,nb_arcgis,total_visit,current_estimate
ns_aberdeenhospitalnewg,Aberdeen Hospital - New Glasgow,New Glasgow,NS,45.573042,-62.642895,t,nshealth,time_to_physician,ml_prediction
ns_capebretonregionalho,Cape Breton Regional Hospital,Sydney,NS,46.113409,-60.174263,t,nshealth,time_to_physician,ml_prediction
ns_cobequidcommunityhe,Cobequid Community Health Centre,Lower Sackville,NS,44.7726,-63.6633,t,nshealth,time_to_physician,ml_prediction
ns_colchesterregionalho,Colchester East Hants Health Centre,Truro,NS,45.357097,-63.292882,t,nshealth,time_to_physician,current_estimate
ns_cumberlandregionalhe,Cumberland Regional Health Care Centre,Amherst,NS,45.804109,-64.1969,t,nshealth,time_to_physician,ml_prediction
ns_dartmouthgeneralhosp,Dartmouth General Hospital,Dartmouth,NS,44.653987,-63.547621,t,nshealth,time_to_physician,ml_prediction
ns_hantscommunityhospit,Hants Community Hospital,Windsor,NS,44.986514,-64.120414,t,nshealth,time_to_physician,ml_prediction
ns_invernessconsolidate,Inverness Consolidated Memorial Hospital,Inverness,NS,46.226968,-61.304843,t,nshealth,time_to_physician,ml_prediction
ns_qeiihalifaxinfirmary,Qeii - Halifax Infirmary Site,Halifax,NS,44.645784,-63.586389,t,nshealth,time_to_physician,ml_prediction
ns_queensgeneralhospita,Queens General Hospital,Liverpool,NS,44.037653,-64.705594,t,nshealth,time_to_physician,ml_prediction
ns_southshoreregionalho,South Shore Regional Hospital,Bridgewater,NS,44.383167,-64.510596,t,nshealth,time_to_physician,ml_prediction
ns_stmarthasregionalhos,St. Martha's Regional Hospital,Antigonish,NS,45.627949,-61.980072,t,nshealth,time_to_physician,ml_prediction
ns_valleyregionalhospit,Valley Regional Hospital,Kentville,NS,45.084053,-64.500591,t,nshealth,time_to_physician,ml_prediction
ns_yarmouthregionalhosp,Yarmouth Regional Hospital,Yarmouth,NS,43.850647,-66.121765,t,nshealth,time_to_physician,ml_prediction
on_bluewaterhealth,Bluewater Health,Sarnia,ON,42.977366,-82.390548,t,transformsso,time_to_physician,current_estimate
on_bluewaterhealthpetro,Bluewater Health - Petrolia (Charlotte Eleanor Englehart Hospital),Petrolia,ON,42.87826,-82.147367,t,transformsso,time_to_physician,current_estimate
on_brantfordgeneralhosp,Brantford General Hospital,Brantford,ON,43.1361,-80.2788,t,bchs_seewait,time_to_physician,median
on_chathamkenthealthall,Chatham-Kent Health Alliance,Chatham,ON,42.405071,-82.193665,t,transformsso,time_to_physician,median
on_chathamkenthealthwal,Chatham-Kent Health Alliance - Wallaceburg,Wallaceburg,ON,42.5979,-82.3838,t,transformsso,time_to_physician,median
on_collingwoodgeneralan,Collingwood General and Marine Hospital,Collingwood,ON,44.499502,-80.203407,t,oculys,time_to_physician,current_estimate
on_creditvalleyhospital,Credit Valley Hospital,Mississauga,ON,43.55935,-79.703246,t,trillium,time_to_physician,current_estimate
on_englehartanddistrict,Englehart and District Hospital Inc.,Englehart,ON,47.823199,-79.879574,t,oculys,time_to_physician,current_estimate
on_erieshoreshealthcare,Erie Shores HealthCare,Leamington,ON,42.054,-82.6,t,transformsso,time_to_physician,median
on_georgetownhospital,Georgetown Hospital,Georgetown,ON,43.644797,-79.933322,t,halton,time_to_physician,current_estimate
on_miltondistricthospit,Halton Healthcare - Milton District Hospital,Milton,ON,43.5081,-79.8744,t,halton,time_to_physician,current_estimate
on_haltonhealthcareserv,Halton Healthcare Services - Oakville,Oakville,ON,43.448926,-79.766597,t,halton,time_to_physician,current_estimate
on_hamiltongeneralhosp,Hamilton General Hospital,Hamilton,ON,43.2584,-79.8556,t,hamilton,time_to_physician,current_estimate
on_hamiltonhealthscienc,Hamilton Health Sciences - Mcmaster,Hamilton,ON,43.253,-79.860524,t,hamilton,time_to_physician,current_estimate
on_headwatershealthcare,Headwaters Health Care Centre - Headwaters Orangeville,Orangeville,ON,43.920509,-80.072243,t,oculys,time_to_physician,current_estimate
on_healthsciencesnorthr,Health Sciences North - Ramsey Lake Health Centre,Sudbury,ON,46.467935,-80.996284,t,oculys,time_to_physician,current_estimate
on_huroniadistricthospi,Huronia District Hospital,Midland,ON,44.742184,-79.913566,t,oculys,time_to_physician,current_estimate
on_juravinskihospital,Juravinski Hospital,Hamilton,ON,43.241,-79.8335,t,hamilton,time_to_physician,current_estimate
on_kirklandanddistricth,Kirkland and District Hospital,Kirkland Lake,ON,48.1534486,-80.0146987,t,oculys,time_to_physician,current_estimate
on_lakeridgehealthajaxp,Lakeridge Health Ajax Pickering Hospital,Ajax,ON,43.838028,-79.0177,t,lakeridge,time_to_physician,current_estimate
on_lakeridgehealthbowma,Lakeridge Health - Bowmanville,Bowmanville,ON,43.909145,-78.679135,t,lakeridge,time_to_physician,current_estimate
on_lakeridgehealthoshaw,Lakeridge Health - Oshawa,Oshawa,ON,43.905564,-78.869384,t,lakeridge,time_to_physician,current_estimate
on_lakeridgehealthportp,Lakeridge Health - Port Perry,Port Perry,ON,44.104888,-78.954839,t,lakeridge,time_to_physician,current_estimate
